session_title,session_abbreviation,session_type,session_topic,session_date,session_time_start,session_time_end,session_location,session_details,session_chair,abstract_title,abstract_time_start,abstract_time_end,authors,abstract_status,abstract_sort_order
The CAE’s Tier I Teaching Excellence Workshop (day 2 of 2),,Workshop,,04-Jan-2016,8:00 AM,5:30 PM,St. George 112 (Gaylord Palms Resort and Convention Center),,"Organizer: Gina Brissenden, gbrissenden@as.arizona.edu, Center for Astronomy Education (CAE), Steward Observatory, Univ. of Arizona",,,,,,
2016 AAS Astronomy Ambassador Workshop (day 2 of 2),,Workshop,,04-Jan-2016,8:30 AM,5:00 PM,St. George 104 (Gaylord Palms Resort and Convention Center),,"Organizer: Richard Fienberg, rick.fienberg@aas.org, American Astronomical Society;Organizer: Suzanne Gurton, sgurton@astrosociety.org, Astronomical Society of the Pacific",,,,,,
Leadership and Team-building for Astronomers,,Workshop,,04-Jan-2016,9:00 AM,4:00 PM,Emerald 4 (Gaylord Palms Resort and Convention Center),,,,,,,,
Using Python for Astronomical Data Analysis,,Workshop,,04-Jan-2016,9:00 AM,4:30 PM,St. George 114 (Gaylord Palms Resort and Convention Center),,"Organizer: Perry Greenfield, perry@stsci.edu",,,,,,
Exoplanet Exploration Program Analysis Group (ExoPAG) (day 2 of 2),,Splinter Meeting,,04-Jan-2016,9:00 AM,5:00 PM,Orange Blossom Ballroom (Gaylord Palms Resort and Convention Center),,,,,,,,
Next Generation Very Large Array Workshop 2016,,Workshop,,04-Jan-2016,9:00 AM,5:00 PM,Sun B (Gaylord Palms Resort and Convention Center),,"Organizer: Mark Adams, mtadams@nrao.edu, NRAO",,,,,,
2016 NSF Postdoctoral Fellows Symposium (day 2 of 2),,Workshop,,04-Jan-2016,9:00 AM,6:00 PM,Sun C (Gaylord Palms Resort and Convention Center),,"Organizer: Devin Silvia, dsilvia@msu.edu, Michigan State University",,,,,,
Astrostatistics and R,,Workshop,,04-Jan-2016,9:00 AM,6:00 PM,Emerald 8 (Gaylord Palms Resort and Convention Center),,,,,,,,
COPAG I,,Splinter Meeting,,04-Jan-2016,10:00 AM,1:00 PM,Osceola B (Gaylord Palms Resort and Convention Center),,"Organizer: Susan Neff, susan.g.neff@nasa.gov, NASA's GSFC",,,,,,
SciCoder Presents: Developing Larger Software Projects,,Workshop,,04-Jan-2016,10:00 AM,6:00 PM,Emerald 6 (Gaylord Palms Resort and Convention Center),,,,,,,,
PAG Meetings,,Splinter Meeting,,04-Jan-2016,12:00 PM,5:00 PM,Osceola A (Gaylord Palms Resort and Convention Center),,"Organizer: Susan Neff, susan.g.neff@nasa.gov, NASA's GSFC",,,,,,
Submitting Successful Proposals to the NSF IUSE Program,,Workshop,,04-Jan-2016,1:00 PM,5:00 PM,St. George 108 (Gaylord Palms Resort and Convention Center),,"Organizer: Kevin Lee, KELEE@nsf.gov, NSF",,,,,,
Bayesian Methods in Astronomy: Hands-on Statistics,,Workshop,,04-Jan-2016,1:00 PM,6:00 PM,Emerald 2 (Gaylord Palms Resort and Convention Center),,,,,,,,
HAD I: A Celebration of the Centenary of Einstein's General Relativity,90,Special Session,,04-Jan-2016,1:30 PM,4:00 PM,Osceola 4 (Gaylord Palms Resort and Convention Center),,"Chair: Virginia Trimble, vtrimble@uci.edu, UC, Irvine",Was Einstein Right? A Centennial Assessment,1:30 PM,2:00 PM,C. M. Will*,Sessioned,1
HAD I: A Celebration of the Centenary of Einstein's General Relativity,90,Special Session,,04-Jan-2016,1:30 PM,4:00 PM,Osceola 4 (Gaylord Palms Resort and Convention Center),,"Chair: Virginia Trimble, vtrimble@uci.edu, UC, Irvine","News from Front (of the Solar System): the problem with Mercury, the Vulcan hypothesis, and General Relativity’s first astronomical triumph",2:00 PM,2:30 PM,W. Sheehan*,Sessioned,2
HAD I: A Celebration of the Centenary of Einstein's General Relativity,90,Special Session,,04-Jan-2016,1:30 PM,4:00 PM,Osceola 4 (Gaylord Palms Resort and Convention Center),,"Chair: Virginia Trimble, vtrimble@uci.edu, UC, Irvine",Cosmology in Mr. Tompkins' Lifetime,2:30 PM,3:00 PM,R. P. Lindner*,Sessioned,3
HAD I: A Celebration of the Centenary of Einstein's General Relativity,90,Special Session,,04-Jan-2016,1:30 PM,4:00 PM,Osceola 4 (Gaylord Palms Resort and Convention Center),,"Chair: Virginia Trimble, vtrimble@uci.edu, UC, Irvine",General Relativity During the Great War,3:00 PM,3:30 PM,V. L. Trimble*,Sessioned,4
HAD I: A Celebration of the Centenary of Einstein's General Relativity,90,Special Session,,04-Jan-2016,1:30 PM,4:00 PM,Osceola 4 (Gaylord Palms Resort and Convention Center),,"Chair: Virginia Trimble, vtrimble@uci.edu, UC, Irvine",General Relativity Today,3:30 PM,4:00 PM,R. D. Blandford*,Sessioned,5
PhysPAG,,Splinter Meeting,,04-Jan-2016,3:00 PM,7:30 PM,Naples (Gaylord Palms Resort and Convention Center),,"Organizer: Susan Neff, susan.g.neff@nasa.gov, NASA's GSFC",,,,,,
COPAG II,,Splinter Meeting,,04-Jan-2016,4:00 PM,8:00 PM,Osceola B (Gaylord Palms Resort and Convention Center),,"Organizer: Susan Neff, susan.g.neff@nasa.gov, NASA's GSFC",,,,,,
Undergraduate Orientation,,Attendee Event,,04-Jan-2016,5:30 PM,7:00 PM,Sun A (Gaylord Palms Resort and Convention Center),,"Organizer: C. Urry, meg.urry@yale.edu, Yale University",,,,,,
WG on the Preservation of Astronomical Heritage,,Splinter Meeting,,04-Jan-2016,5:30 PM,7:00 PM,Emerald 3 (Gaylord Palms Resort and Convention Center),,"Organizer: Jennifer Bartlett, jennifer.bartlett@usno.navy.mil, US Naval Observatory",,,,,,
40+E Reception,,Invitation-Only Event,,04-Jan-2016,6:00 PM,7:00 PM,Osceola 5 (Gaylord Palms Resort and Convention Center),,,,,,,,
AAS Opening Reception,,Attendee Event,,04-Jan-2016,7:00 PM,9:00 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,,,,,,
Session Chair Breakfast,,Invitation-Only Event,,05-Jan-2016,7:30 AM,8:00 AM,St. George 104 (Gaylord Palms Resort and Convention Center),,,,,,,,
Plenary Session: Welcome Address by AAS President Meg Urry (Yale University),100,Plenary Session,,05-Jan-2016,8:00 AM,8:30 AM,Osceola C (Gaylord Palms Resort and Convention Center),,"Chair: C. Urry, meg.urry@yale.edu, Yale University",,,,,,
"Kavli Foundation Lecture: The Exploration of the Pluto System by New Horizons, S. A. Stern (SwRI)",101,Plenary Session,,05-Jan-2016,8:30 AM,9:20 AM,Osceola C (Gaylord Palms Resort and Convention Center),,"Chair: C. Urry, meg.urry@yale.edu, Yale University",The Exploration of the Pluto System by New Horizons,8:30 AM,9:20 AM,S. A. Stern*,Sessioned,1
Careers 101: Career Planning Workshop and Panel for Graduate Students and Postdocs,,Workshop,,05-Jan-2016,9:30 AM,11:30 AM,St. George 108 (Gaylord Palms Resort and Convention Center),,,,,,,,
"AGN, QSO, Blazars: Origins, Evolution, Growth and Masses",104,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sun C (Gaylord Palms Resort and Convention Center),,"Chair: Jedidah Isler, jedidah.isler@vanderbilt.edu, Yale University","The Fossil Record of Black Hole Seeds, with Spatially Resolved Spectroscopy",10:00 AM,10:10 AM,J. R. Trump*,Sessioned,1
"AGN, QSO, Blazars: Origins, Evolution, Growth and Masses",104,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sun C (Gaylord Palms Resort and Convention Center),,"Chair: Jedidah Isler, jedidah.isler@vanderbilt.edu, Yale University",The Observed Evolution of the Black-Hole-Host Mass Relation to z~3.5,10:10 AM,10:20 AM,B. Trakhtenbrot*; C. M. Urry; F. M. Civano; D. J. Rosario; M. Elvis; K. Schawinski; H. Suh; A. Bongiorno; B. Simmons; S. Marchesi,Sessioned,2
"AGN, QSO, Blazars: Origins, Evolution, Growth and Masses",104,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sun C (Gaylord Palms Resort and Convention Center),,"Chair: Jedidah Isler, jedidah.isler@vanderbilt.edu, Yale University",HST images of FeLoBAL quasars: Testing quasar-galaxy evolution models,10:20 AM,10:30 AM,H. Herbst*; F. Hamann; C. Villforth; P. Caselli; A. M. Koekemoer; S. Veilleux,Sessioned,3
"AGN, QSO, Blazars: Origins, Evolution, Growth and Masses",104,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sun C (Gaylord Palms Resort and Convention Center),,"Chair: Jedidah Isler, jedidah.isler@vanderbilt.edu, Yale University",Dual AGNs in Mergers: An X-ray and IR investigation,10:30 AM,10:40 AM,S. Satyapal*; N. Secrest; B. Rothburg; S. L. Ellison; P. McNulty,Sessioned,4
"AGN, QSO, Blazars: Origins, Evolution, Growth and Masses",104,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sun C (Gaylord Palms Resort and Convention Center),,"Chair: Jedidah Isler, jedidah.isler@vanderbilt.edu, Yale University",Understanding AGNs in the Local Universe through Optical Reverberation Mapping,10:40 AM,11:00 AM,L. Pei*,Sessioned,5
"AGN, QSO, Blazars: Origins, Evolution, Growth and Masses",104,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sun C (Gaylord Palms Resort and Convention Center),,"Chair: Jedidah Isler, jedidah.isler@vanderbilt.edu, Yale University",Active Galactic Nuclei flicker on a characteristic timescale of 105 years: implications for black hole growth and AGN feedback,11:00 AM,11:10 AM,K. Schawinski*; M. Koss; L. F. Sartori; S. Berney,Sessioned,6
"AGN, QSO, Blazars: Origins, Evolution, Growth and Masses",104,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sun C (Gaylord Palms Resort and Convention Center),,"Chair: Jedidah Isler, jedidah.isler@vanderbilt.edu, Yale University",Improving Calibration of the MBH - σ* Relation for AGN with the BRAVE Program,11:10 AM,11:20 AM,M. Batiste*; M. C. Bentz,Sessioned,7
"AGN, QSO, Blazars: Origins, Evolution, Growth and Masses",104,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sun C (Gaylord Palms Resort and Convention Center),,"Chair: Jedidah Isler, jedidah.isler@vanderbilt.edu, Yale University",A Stellar Dynamical Black Hole Mass for Broad-Lined Seyfert Galaxy NGC 6814 and Comparison to Results from Reverberation Mapping,11:20 AM,11:30 AM,E. Manne-Nicholas*; M. Batiste; M. Valluri; M. C. Bentz; C. A. Onken; L. Ferrarese,Sessioned,8
Dwarf and Irregular Galaxies,111,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sanibel (Gaylord Palms Resort and Convention Center),,"Chair: Keith Bechtol, bechtol@kicp.uchicago.edu, Stanford",Evidence of Cosmic Accretion in Local Tadpole Galaxies,10:00 AM,10:10 AM,D. M. Elmegreen*; B. Elmegreen; J. Sanchez Almeida; C. Munoz-Tunon; M. Rafelski; J. S. Gallagher; J. Mendez-Abreu; R. Amorin; M. Filho; Y. Ascasibar; P. Papaderos; J. Vilchez; E. Perez-Montero,Sessioned,1
Dwarf and Irregular Galaxies,111,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sanibel (Gaylord Palms Resort and Convention Center),,"Chair: Keith Bechtol, bechtol@kicp.uchicago.edu, Stanford",Exploding Satellites - The Tidal Debris of the Ultra-Faint Dwarf Galaxy Hercules,10:10 AM,10:20 AM,A. H. Kupper*; M. Collins; S. Mieske; E. J. Tollerud,Sessioned,2
Dwarf and Irregular Galaxies,111,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sanibel (Gaylord Palms Resort and Convention Center),,"Chair: Keith Bechtol, bechtol@kicp.uchicago.edu, Stanford",Dwarf galaxy evolution within the environments of massive galaxies,10:20 AM,10:40 AM,K. S. Arraki*; A. A. Klypin; D. Ceverino; S. Trujillo-Gomez; J. R. Primack,Sessioned,3
Dwarf and Irregular Galaxies,111,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sanibel (Gaylord Palms Resort and Convention Center),,"Chair: Keith Bechtol, bechtol@kicp.uchicago.edu, Stanford",WSRT HI imaging of candidate gas-bearing dark matter halos in the Local Group,10:40 AM,10:50 AM,E. A. Adams*; T. Oosterloo; J. M. Cannon; R. Giovanelli; M. P. Haynes,Sessioned,4
Dwarf and Irregular Galaxies,111,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sanibel (Gaylord Palms Resort and Convention Center),,"Chair: Keith Bechtol, bechtol@kicp.uchicago.edu, Stanford",H I Structure and Kinematics in the LITTLE THINGS Dwarf Galaxies,10:50 AM,11:10 AM,N. R. Pokhrel*; C. E. Simpson,Sessioned,5
Dwarf and Irregular Galaxies,111,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sanibel (Gaylord Palms Resort and Convention Center),,"Chair: Keith Bechtol, bechtol@kicp.uchicago.edu, Stanford",Star Formation at Low Metallicity in Local Dwarf Irregular Galaxies,11:10 AM,11:20 AM,B. Elmegreen*; D. A. Hunter; M. Rubio; E. Brinks; J. R. Cortés; P. Cigan,Sessioned,6
Dwarf and Irregular Galaxies,111,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sanibel (Gaylord Palms Resort and Convention Center),,"Chair: Keith Bechtol, bechtol@kicp.uchicago.edu, Stanford","Growing black holes, from the first seeds to AGN",11:20 AM,11:30 AM,M. Mezcua*; F. M. Civano; G. Fabbiano; A. Lobanov; T. Miyaji; T. P. Roberts; H. Suh; A. Sutton,withdrawn,7
Extrasolar Planet Atmospheres: Theory I,112,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sarasota (Gaylord Palms Resort and Convention Center),,"Chair: Renyu Hu, renyu.hu@jpl.nasa.gov, Jet Propulsion Laboratory",Non-grey thermal effects in irradiated planets atmospheres,10:00 AM,10:10 AM,V. Parmentier*; T. Guillot; J. J. Fortney; M. S. Marley,Sessioned,1
Extrasolar Planet Atmospheres: Theory I,112,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sarasota (Gaylord Palms Resort and Convention Center),,"Chair: Renyu Hu, renyu.hu@jpl.nasa.gov, Jet Propulsion Laboratory",Polarimetry of hot-Jupiter systems and radiative transfer models of planetary atmospheres,10:10 AM,10:30 AM,K. Bott*; J. Bailey; L. Kedziora-Chudczer; D. Cotton; J. Marshall,Sessioned,2
Extrasolar Planet Atmospheres: Theory I,112,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sarasota (Gaylord Palms Resort and Convention Center),,"Chair: Renyu Hu, renyu.hu@jpl.nasa.gov, Jet Propulsion Laboratory",Modeling of hot Jupiter H alpha transmission spectral line,10:30 AM,10:40 AM,C. Huang*; P. Arras; D. Christie,Sessioned,3
Extrasolar Planet Atmospheres: Theory I,112,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sarasota (Gaylord Palms Resort and Convention Center),,"Chair: Renyu Hu, renyu.hu@jpl.nasa.gov, Jet Propulsion Laboratory",Microphysics of Exoplanet Clouds and Hazes,10:40 AM,11:00 AM,P. Gao*; B. Benneke; H. Knutson; Y. Yung,Sessioned,4
Extrasolar Planet Atmospheres: Theory I,112,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Sarasota (Gaylord Palms Resort and Convention Center),,"Chair: Renyu Hu, renyu.hu@jpl.nasa.gov, Jet Propulsion Laboratory",The Impact of Clouds and Hazes in Substellar Atmospheres,11:00 AM,11:20 AM,C. Morley*; J. J. Fortney; M. S. Marley,Sessioned,5
Gas and Dust Content in Distant Galaxies,108,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Miami (Gaylord Palms Resort and Convention Center),,"Chair: Roberta Paladini, paladini@ipac.caltech.edu, NHSC/Caltech",The Evolutionary Connection Bewtween z~2-3 Submillimeter Galaxies and AGN as Probed by Molecular Gas Excitation,10:00 AM,10:10 AM,C. E. Sharon*; D. A. Riechers; C. L. Carilli; J. Hodge; F. Walter,Sessioned,1
Gas and Dust Content in Distant Galaxies,108,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Miami (Gaylord Palms Resort and Convention Center),,"Chair: Roberta Paladini, paladini@ipac.caltech.edu, NHSC/Caltech",The Luminous Polycyclic Aromatic Hydrocarbon Emission Features: Applications to High Redshift Galaxies and Active Galactic Nuclei,10:10 AM,10:30 AM,H. V. Shipley*,Sessioned,2
Gas and Dust Content in Distant Galaxies,108,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Miami (Gaylord Palms Resort and Convention Center),,"Chair: Roberta Paladini, paladini@ipac.caltech.edu, NHSC/Caltech",Dust-obscured star formation in the Frontier Fields: New observations from the Large Millimeter Telescope,10:30 AM,10:40 AM,A. Pope*,Sessioned,3
Gas and Dust Content in Distant Galaxies,108,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Miami (Gaylord Palms Resort and Convention Center),,"Chair: Roberta Paladini, paladini@ipac.caltech.edu, NHSC/Caltech",The role of AGN and star-forming in powering dusty galaxies,10:40 AM,10:50 AM,A. Sajina*; N. Kurinsky; E. J. Roebuck; C. C. Hayward; M. Bonato; A. Kirkpatrick; A. Pope; L. Yan,Sessioned,4
Gas and Dust Content in Distant Galaxies,108,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Miami (Gaylord Palms Resort and Convention Center),,"Chair: Roberta Paladini, paladini@ipac.caltech.edu, NHSC/Caltech",COPSS: The CO Power Spectrum Survey,10:50 AM,11:10 AM,G. K. Keating*; G. C. Bower; D. P. Marrone; C. E. Heiles,Sessioned,5
Gas and Dust Content in Distant Galaxies,108,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Miami (Gaylord Palms Resort and Convention Center),,"Chair: Roberta Paladini, paladini@ipac.caltech.edu, NHSC/Caltech",The evolution of morphology and star formation across 12 Gyrs: Quiescent disks or dust-obscured star formation?,11:10 AM,11:20 AM,T. Wiklind*,Sessioned,6
HAD II: History of Astronomy: 19th and 20th Centuries,114,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Osceola 4 (Gaylord Palms Resort and Convention Center),,"Chair: Jay Pasachoff, eclipse@williams.edu, Williams College",The Order of the Dolphin: Origins of SETI,10:00 AM,10:10 AM,M. Temming*; A. Crider,Sessioned,1
HAD II: History of Astronomy: 19th and 20th Centuries,114,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Osceola 4 (Gaylord Palms Resort and Convention Center),,"Chair: Jay Pasachoff, eclipse@williams.edu, Williams College",The Golden Years of Radio Astronomy,10:10 AM,10:20 AM,K. I. Kellermann*,Sessioned,2
HAD II: History of Astronomy: 19th and 20th Centuries,114,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Osceola 4 (Gaylord Palms Resort and Convention Center),,"Chair: Jay Pasachoff, eclipse@williams.edu, Williams College",Max Wolf’s Discovery of Near-Earth Asteroid 887 Alinda,10:20 AM,10:30 AM,M. Connors*; H. Mandel; M. Demleitner,Sessioned,3
HAD II: History of Astronomy: 19th and 20th Centuries,114,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Osceola 4 (Gaylord Palms Resort and Convention Center),,"Chair: Jay Pasachoff, eclipse@williams.edu, Williams College",Lowell Observatory's 24-inch Clark Refractor: Its History and Renovation,10:30 AM,10:40 AM,K. Schindler*; R. Nye; P. Rosenthal,Sessioned,4
HAD II: History of Astronomy: 19th and 20th Centuries,114,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Osceola 4 (Gaylord Palms Resort and Convention Center),,"Chair: Jay Pasachoff, eclipse@williams.edu, Williams College","Who Really Discovered The First Asteroid, Ceres?",10:40 AM,10:50 AM,C. J. Cunningham*,Sessioned,5
HAD II: History of Astronomy: 19th and 20th Centuries,114,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Osceola 4 (Gaylord Palms Resort and Convention Center),,"Chair: Jay Pasachoff, eclipse@williams.edu, Williams College",Lost in the Dark: A proto-history of dark matter,10:50 AM,11:00 AM,V. L. Trimble*,Sessioned,6
HAD II: History of Astronomy: 19th and 20th Centuries,114,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Osceola 4 (Gaylord Palms Resort and Convention Center),,"Chair: Jay Pasachoff, eclipse@williams.edu, Williams College",Joseph Henry and Astronomy,11:00 AM,11:10 AM,M. Rothenberg*,Sessioned,7
HEAD I: The First Supermassive Black Holes,107,Special Session,,05-Jan-2016,10:00 AM,11:30 AM,Osceola B (Gaylord Palms Resort and Convention Center),,"Chair: Christopher Reynolds, chris@astro.umd.edu, Univ. of Maryland",The Origin of SMBHs : A Theoretical Perspective,10:00 AM,10:30 AM,T. Di Matteo*,Sessioned,1
HEAD I: The First Supermassive Black Holes,107,Special Session,,05-Jan-2016,10:00 AM,11:30 AM,Osceola B (Gaylord Palms Resort and Convention Center),,"Chair: Christopher Reynolds, chris@astro.umd.edu, Univ. of Maryland",Current and Future X-ray Studies of High-Redshift AGNs and the First Supermassive Black Holes,10:30 AM,11:00 AM,N. Brandt*,Sessioned,2
HEAD I: The First Supermassive Black Holes,107,Special Session,,05-Jan-2016,10:00 AM,11:30 AM,Osceola B (Gaylord Palms Resort and Convention Center),,"Chair: Christopher Reynolds, chris@astro.umd.edu, Univ. of Maryland","The First SMBHs in the era of Euclid, WFIRST and JWST",11:00 AM,11:30 AM,D. Stern*,Sessioned,3
Instrumentation: Space and Ground,113,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Osceola 5 (Gaylord Palms Resort and Convention Center),,"Chair: Charles Bradford, bradford@caltech.edu, Caltech/ JPL",Simulating PSFs for WFIRST and JWST with WebbPSF,10:00 AM,10:10 AM,J. D. Long*; M. D. Perrin; R. P. Van Der Marel,Sessioned,1
Instrumentation: Space and Ground,113,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Osceola 5 (Gaylord Palms Resort and Convention Center),,"Chair: Charles Bradford, bradford@caltech.edu, Caltech/ JPL","AdEPT, the Advanced Energetic Pair Telescope for Medium-Energy Gamma-Ray Polarimetry",10:10 AM,10:20 AM,S. D. Hunter*; T. M. Venters; J. Krizmanic; A. Hanu; M. Sasaki; A. Timokhin,Sessioned,2
Instrumentation: Space and Ground,113,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Osceola 5 (Gaylord Palms Resort and Convention Center),,"Chair: Charles Bradford, bradford@caltech.edu, Caltech/ JPL",It may be Possible to Use a Neutron Beam as Propulsion for Spacecraft,10:20 AM,10:30 AM,R. M. Kriske*,Sessioned,3
Instrumentation: Space and Ground,113,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Osceola 5 (Gaylord Palms Resort and Convention Center),,"Chair: Charles Bradford, bradford@caltech.edu, Caltech/ JPL",High angular resolution observations of star-forming regions with BETTII and SOFIA,10:30 AM,10:50 AM,M. Rizzo*; S. Rinehart; L. G. Mundy; D. J. Benford; A. Dhabal; D. J. Fixsen; D. Leisawitz; S. F. Maher; E. Mentzell; R. F. Silverberg; J. Staguhn; T. Veach,Sessioned,4
Instrumentation: Space and Ground,113,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Osceola 5 (Gaylord Palms Resort and Convention Center),,"Chair: Charles Bradford, bradford@caltech.edu, Caltech/ JPL","An Accurate, All-Sky, Absolute, Low-Frequency Flux Density Scale",10:50 AM,11:00 AM,R. A. Perley*; J. Callingham; B. J. Butler,Sessioned,5
Instrumentation: Space and Ground,113,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Osceola 5 (Gaylord Palms Resort and Convention Center),,"Chair: Charles Bradford, bradford@caltech.edu, Caltech/ JPL",Noise and dark performance for the FIREBall-2 EMCCD delta-doped UV optimized CCD detector,11:00 AM,11:10 AM,E. T. Hamden*; N. Lingner; G. Kyne; P. Morrissey; C. D. Martin,Sessioned,6
Instrumentation: Space and Ground,113,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Osceola 5 (Gaylord Palms Resort and Convention Center),,"Chair: Charles Bradford, bradford@caltech.edu, Caltech/ JPL",NRES: The Network of Robotic Echelle Spectrographs,11:10 AM,11:20 AM,R. Siverd*; T. M. Brown; J. Hygelund; T. Henderson; J. Tufts; J. Eastman; J. C. Van Eyken; S. Barnes,Sessioned,7
"Intergalactic Medium, QSO Absorption Line Systems",109,Oral Session,,05-Jan-2016,10:00 AM,11:30 AM,Naples (Gaylord Palms Resort and Convention Center),,"Chair: Andrew Fox, afox@stsci.edu, Space Telescope Science Institute",Understanding the physics driving the values of Lyman-alpha forest bias parameters,10:00 AM,10:10 AM,A. M. Cieplak*; A. Slosar,Sessioned,1
