Epoch,Time,Talk,Chair Gender,Speaker Gender,Questions,Splinter,Session type,speaker type,Comments
1532975285,7/30/18 11:28,Gagne,M,M,MFMF,2,splinter,contibuted,Talk starts 14:12 Talk ends 14:22 Q/A ends 14:27;
1533071656,7/31/18 14:14,Garraffo,M,F,M,4,splinter,contibuted,questions were cut off for time;
1533068205,7/31/18 13:16,Giles,F,F,MFMMF,5,splinter,contibuted,Talk starts 16:01 Talk ends 16:11 Q/A ends 16:16. The second commenter actually turned away from the speaker to address the audience. he did eventually ask a question.;
1532982669,7/30/18 13:31,Gonzales,M,F,MFM,2,splinter,contibuted, Talk starts 16:16 Talk ends  16:28 Q/A ends 16:31 Both male and Female chairs.;
1533070315,7/31/18 13:51,Gosnell,F,F,MFF,5,splinter,contibuted,Talk starts 16:41 Talk ends 16:48 Q/A ends 16:51;
1533236460,8/2/18 12:01,Grant,M,M,MMM,8,splinter,contibuted,;
1533046454,7/31/18 7:14,Haywood,M,F,MMM,Tue Plenary,Plenary,contributed,Talk starts 09:59 Talk ends 10:11 Q/A ends 10:14. First question was almost a comment. Comment #2 was mainly self-promotion. ;
1533045499,7/31/18 6:58,Cegla,M,F,MMM,Tue Plenary,Plenary,contributed, 3rd M:Q was partially a comment. Talk starts 09:40 Talk ends 09:52 Q/A ends 09:58;
1533128675,8/1/18 6:04,Hekker,F,F,MMFMM,Wed Plenary,Plenary,invited,Talk starts 08:32 Talk ends 08:57 Q/A ends 09:04;
1533063176,7/31/18 11:52,Howard,F,M,M,6,splinter,contibuted, ;
1533240608,8/2/18 13:10,Isik,M,F,M,7,splinter,contibuted,;
1533072525,7/31/18 14:28,Iwanek,F,M,MMM,5,splinter,contibuted,Talk starts 17:18 Talk ends 17:25 Q/A ends 17:28;
1532984559,7/30/18 14:02,Janes,M,M,MMMMM,3,splinter,contibuted, Chair asks and answers Qs too.;
1533060977,7/31/18 11:16,Jardine,F,F,MM,6,splinter,contibuted, ;
1533063253,7/31/18 11:54,Jarvinen,M,F,MMM,5,splinter,contibuted,In this Starspot session the audience was reminded that junior people etc should be allowed to ask Qs first. Talk starts 14:46 Talk ends 14:53 Q/A ends 14:56 ;
1533141407,8/1/18 9:36,Jeffries,M,M,FMMMF,Wed Plenary,Plenary,invited,;
1533238682,8/2/18 12:38,Kastner,M,M,FM,9,splinter,contibuted,;
1533069618,7/31/18 13:40,Kesseli,F,F,MMFF,5,splinter,contibuted,Talk starts 16:29 Talk ends 16:36 Q/A ends 16:40;
1532984434,7/30/18 14:00,Kiman,M,F,FMMF,2,splinter,contibuted, Talk starts 16:46 Talk ends  16:56 Q/A ends 17:00. Both male and Female chairs.;
1533241380,8/2/18 13:23,Kostogryz,M,F,MMF,7,splinter,contibuted,;
1532966765,7/30/18 9:06,Kounkel,F,F,MFFFFM,Mon Plenary,Plenary,contributed,Fourth question from the chair. Talk starts 11:50 Talk ends 12:01 Q/A ends 12:06 ;
1533243277,8/2/18 13:54,Kuhn,M,M,MMMMMM,8,splinter,contibuted,This was a 13 minute talk with 4 minutes for questions as part of the DKIST splinter at Cool Stars 20.;
1532967629,7/30/18 9:20,Casamiquela,F,F,FMFM,Mon Plenary,Plenary,contributed,First question asked to see the speaker's conclusions (which she'd run out of time to talk about). Talk starts 12:06 Talk ends 12:18 Q/A ends 12:22  ;
1532983188,7/30/18 13:39,Lanzafame,M,M,M,3,splinter,contibuted,Now have 3 microphones in splinter session but still only one runner. People on the sides are asked to go up to the microphones now. Only time for one question says chair. ;
1533064191,7/31/18 12:09,Lehmann,M,F,MM,5,splinter,contibuted,Talk starts 14:57 Talk ends 15:06 Q/A ends 15:08. Know Thy Starspot Splinter ;
1533064880,7/31/18 12:21,Lehtinen,M,M,MM,5,splinter,contibuted,Talk starts 15:09 Talk ends 15:18 Q/A ends 15:21;
1532976097,7/30/18 11:41,Lepine,F,M,MMM,2,splinter,contibuted,Both male and Female chairs. Talk starts 14:27 Talk ends 14:38 Q/A ends 14:41  ;
1533138233,8/1/18 8:43,Liu,M,M,FFF,Wed Plenary,Plenary,contributed,Talk starts 11:29 Talk ends 11:40 Q/A ends 11:43;
1533243194,8/2/18 13:53,Llama,M,M,MMMMM,7,splinter,contibuted,;
1533237712,8/2/18 12:21,Lodieu,M,M,MM,9,splinter,contibuted,;
1533142377,8/1/18 9:52,Lorenzo-Oliveira,M,M,MM,Wed Plenary,Plenary,contributed,;
1533312715,8/3/18 9:11,Luhn,F,M,FMFM,Fri Plenary,Plenary,contributed,Comment by chair. Grad student poster winner.;
1533224716,8/2/18 8:45,MacGregor,M,F,MMM,Thu Plenary,Plenary,contributed,;
1533069706,7/31/18 13:41,Mansour/Kitiashvili,M,F,FM,4,splinter,contibuted,Nagi (male) replaced by Irina (female);
1533310138,8/3/18 8:28,Marley,F,M,MMFFMMM,Fri Plenary,Plenary,invited,Talk starts 10:58 Talk ends 11:20 Q/A ends 11:26. Chair was quietly reminded by a member of SOC to instruct audience for questions during the first comment. Commenter was prompted by chair for a question ending the comment;
1532981732,7/30/18 13:15,Marocco,M,M,FMM,2,splinter,contibuted, Talk starts 16:03 Talk ends 16:13 Q/A ends 16:15. Both male and Female chairs.;
1533216964,8/2/18 6:36,Mason,M,M,FFF,Thu Plenary,Plenary,contributed,Third questioner asked two questions;
1533241929,8/2/18 13:32,Mathur,M,F,,7,splinter,contibuted,No questions.;
1533135866,8/1/18 8:04,Matsuno,F,M,FFF,Wed Plenary,Plenary,contributed,Speaker is a graduate student. Talk starts 09:50 Talk ends 10:00 Q/A ends 10:02. First person asked two questions and then made two comments.;
1533064710,7/31/18 12:18,Matt,M,M,FMMFMM,6,splinter,contibuted,;
1533070813,7/31/18 14:00,Matthews,F,F,FMF,6,splinter,contibuted,;
1533238386,8/2/18 12:33,Meunier,M,F,MM,7,splinter,contibuted,Last 2 questions from same person;
1533244808,8/2/18 14:20,Milbourne,M,M,MM,7,splinter,contibuted,;
1533235426,8/2/18 11:43,Milic,M,M,MM,8,splinter,contibuted,;
1533237608,8/2/18 12:20,Molnar,M,M,FMMMM,8,splinter,contibuted,This was a 13 minute talk 4 minute questions as part of the DKIST splinter at Cool Stars 20.;
1533236670,8/2/18 12:04,Montet,M,M,FFFM,7,splinter,contibuted,;
1533226619,8/2/18 9:16,Moore,M,M,MMM,Thu Plenary,Plenary,contributed,;
1533223799,8/2/18 8:29,Morrell,F,M,MMF,1,splinter,contibuted,;
1533054430,7/31/18 9:27,Morris,M,M,FMMMMMM,Tue Plenary,Plenary,contributed,Chair asked the comment sayer to change his comment to a question. It still went over as a comment speaker did not say anything before moving on. Third last question asker was asked to make his question more concise. Talk starts 12:09 Talk ends 12:19 Q/A ends 12:27  ;
1533062479,7/31/18 11:41,Moschou,F,F,F,6,splinter,contibuted, ;
1533069871,7/31/18 13:44,Mutel,F,M,FMM,6,splinter,contibuted,;
1532979590,7/30/18 12:39,Newton ,M,F,MMMMMM,3,splinter,contibuted, Number 5 repeated the first or second question;
1533313674,8/3/18 9:27,Ngo,F,M,MM,Fri Plenary,Plenary,contributed,Female with question was ignored and talk finished.;
1533068925,7/31/18 13:28,Nicholson,F,F,FF,5,splinter,contibuted,Talk starts 16:17 Talk ends 16:26 Q/A ends 16:28. First question from female chair;
1533237309,8/2/18 12:15,Nielsen,M,M,M,7,splinter,contibuted,;
1532975244,7/30/18 11:27,Orosz,M,M,FM,1,splinter,contibuted, ;
1533215529,8/2/18 6:12,Osten,M,F,MMMFMF,Thu Plenary,Plenary,invited,First female question asker asked 2 questions.;
1533062752,7/31/18 11:45,Panja,M,M,FFM,5,splinter,contibuted,Talk starts 14:36 Talk ends 14:43 Q/A ends 14:45. #3 was almost a comment too. Speaker is a student. Speaker interrupted the female question asker.;
1533238555,8/2/18 12:35,Peck,M,F,M,8,splinter,contibuted,This was a 13 minute talk with 4 minutes for questions as part of the DKIST splinter at Cool Stars 20.;
1533234378,8/2/18 11:26,Pillet,M,M,MM,8,splinter,contibuted,DKIST splinter;
1533223797,8/2/18 8:29,Poppenhaeger,M,F,FMFFMMMM,Thu Plenary,Plenary,invited,Comment was cut off by the session chair;
1533310952,8/3/18 8:42,Powell,F,F,FMF,Fri Plenary,Plenary,contributed,Talk starts 11:29 Talk ends 11:40 Q/A ends 11:42;
1533304154,8/3/18 6:49,Punzi,M,F,FMM,Fri Plenary,Plenary,contributed,speaker solicited suggestions for interpretation so comments might be desirable;
1533064743,7/31/18 12:19,Quiroga-Nunez,F,M,MM,6,splinter,contibuted,Comment turned in to a useful back and forth with speaker;
1533071864,7/31/18 14:17,Rackham,F,M,FM,5,splinter,contibuted,Talk starts 17:07 Talk ends 17:15 Q/A ends 17:17;
1533235446,8/2/18 11:44,Reinhold,M,M,MMMM,7,splinter,contibuted,;
1533236585,8/2/18 12:03,Reiter,M,F,M,9,splinter,contibuted,One person with 2 comments;
1532977066,7/30/18 11:57,Reyle,M,F,FMFM,2,splinter,contibuted,Talk starts 14:42 Talk ends 14:54 Q/A ends 14:57. Both male and Female chairs. ;
1532912195,7/29/18 17:56,Ricker,M,M,FFMMM,Sun Plenary,Plenary,invited,;
1533243221,8/2/18 13:53,Roccatagliata,M,F,MFF,9,splinter,contibuted,;
1533068313,7/31/18 13:18,Rodriguez,F,M,MMM,6,splinter,contibuted,;
1533053321,7/31/18 9:08,Roettenbacher,M,F,MMMFFM,Tue Plenary,Plenary,contributed, Second question author also gave a long comment. Talk starts 11:50 Talk ends 12:01 Q/A ends 12:08;
1533061539,7/31/18 11:25,Brun,M,M,MMM,4,splinter,contibuted, ;
1533137342,8/1/18 8:29,Schiavon,M,M,FMM,Wed Plenary,Plenary,invited,Talk starts 10:57 Talk ends 11:23 Q/A ends 11:28. Third question was from the chair.;
1532982102,7/30/18 13:21,Schmitt,M,M,MMM,3,splinter,contibuted, First male comment was from the chair before questions were taken from audience. First questioner asked two qs at once. This speaker was snitty to the previous speaker over a minor terminology point - he made a mean comment to her after her talk too. ;
1533303297,8/3/18 6:34,Scholz,M,M,MFMM,Fri Plenary,Plenary,contributed,Talk starts 09:18 Talk ends 09:31 Q/A ends 09:34. Third questions was from the session chair;
1533063582,7/31/18 11:59,Shapiro,M,M,MM,4,splinter,contibuted, ;
1533302239,8/3/18 6:17,Shporer,M,M,MMM,Fri Plenary,Plenary,contributed,Talk starts 09:04 Talk ends 09:13 Q/A ends 09:17;
1533234794,8/2/18 11:33,Sills,M,F,MF,9,splinter,contibuted,;
1532977911,7/30/18 12:11,Skinner,F,F,MMM,2,splinter,contibuted, Talk starts 14:58 Talk ends 15:08 Q/A ends 15:11. Both male and Female chairs.;
1532968683,7/30/18 9:38,Smiljanic,F,M,FMM,Mon Plenary,Plenary,contributed, Talk starts 12:25 Talk ends 12:35 Q/A ends 12:38;
1532976377,7/30/18 11:46,Somers,M,M,MM,1,splinter,contibuted,;
1532978595,7/30/18 12:23,Raetz,M,F,MMM,3,splinter,contibuted, Questions were already answered in the talk;
1533242168,8/2/18 13:36,Testa,M,F,MFMMM,1,splinter,contibuted,This was a 13 minute talk with 4 minutes for questions as part of the DKIST splinter session at Cool Stars 20.;
1532957001,7/30/18 6:23,Thevanin,F,M,FMMMF,Mon Plenary,Plenary,invited,First and last question by female chair. Male comment to another audience member. Chair insisted on taking the first three questions whose hands went up. ;
1533227677,8/2/18 9:34,Tofflemire,M,M,MFFM,Thu Plenary,Plenary,contributed,;
1533068999,7/31/18 13:29,Uitenbroek,M,M,FF,4,splinter,contibuted,;
1533131153,8/1/18 6:45,Valenti,F,M,MMMFM,Wed Plenary,Plenary,contributed,Talk starts 09:19 Talk ends 09:30 Q/A ends 09:35;
1532964690,7/30/18 8:31,Vallenari,F,F,FMF,Mon Plenary,Plenary,invited,Talk starts 10:58 (scheduled 10:55) Talk ends 11:26 Q/A ends 11:31. Struggle for questions initially.;
1532986591,7/30/18 14:36,Van Saders ,F,F,FF,2,splinter,contibuted, Talk starts 17:20 Talk ends  17:33 Q/A ends 17:36. Both male and Female chairs.;
1533061725,7/31/18 11:28,Villadsen,F,F,MM,6,splinter,contibuted, ;
1533311885,8/3/18 8:58,Vos,F,F,MM,Fri Plenary,Plenary,contributed,Talk starts 11:43 Talk ends 11:55 Q/A ends 11:57;
1533241221,8/2/18 13:20,Warren,M,M,MMMM,8,splinter,contibuted,This was a 13 minute talk with 4 minute for questions as part of the DKIST splinter session at Cool Stars 20.;
1533043396,7/31/18 6:23,Weber,M,F,MMF,Tue Plenary,Plenary,contributed, 1st was for clarification on a plot. Talk starts 09:07 Talk ends 09:18 Q/A ends 09:23  ;
1532976067,7/30/18 11:41,Weingrill ,M,M,FMMM,3,splinter,contibuted,The comment floodgates have opened.;
1533143284,8/1/18 10:08,Witzke,M,F,MM,Wed Plenary,Plenary,contributed,;
1532965780,7/30/18 8:49,Wright,F,M,FMMMF,Mon Plenary,Plenary,contributed,Talk starts 11:32 Talk ends 11:43 Q/A ends 11:49. ;
1532959107,7/30/18 6:58,Zari,F,F,FM,Mon Plenary,Plenary,contributed,Talk starts 09:44 (scheduled 09:35) Talk ends 09:56. Questions end 09:58. ;
1533063935,7/31/18 12:05,Zic,F,M,MM,6,splinter,contibuted, ;
